"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003594","상대초등학교","02","공립","N","","1","20","20","1","22","22","2","37","18.5","2","35","17.5","2","35","17.5","2","37","18.5","1","7","7","0","0","0","11","193","17.5","13","14.8"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003599","송라초등학교","02","공립","N","","1","3","3","1","4","4","1","5","5","1","4","4","1","3","3","1","5","5","0","0","0","0","0","0","6","24","4","7","3.4"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003601","송림초등학교","02","공립","N","","1","20","20","1","14","14","2","31","15.5","1","18","18","2","38","19","2","33","16.5","1","3","3","0","0","0","10","157","15.7","13","12.1"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003603","신광초등학교","02","공립","N","","1","8","8","1","7","7","1","5","5","1","8","8","1","8","8","1","13","13","1","4","4","0","0","0","7","53","7.6","8","6.6"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003606","신흥초등학교","02","공립","N","","2","41","20.5","2","43","21.5","2","49","24.5","2","48","24","2","39","19.5","2","49","24.5","1","6","6","0","0","0","13","275","21.2","16","17.2"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003607","양포초등학교","02","공립","N","","1","4","4","1","9","9","1","5","5","1","8","8","1","5","5","1","6","6","0","0","0","0","0","0","6","37","6.2","7","5.3"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003609","양학초등학교","02","공립","N","","3","73","24.3","3","82","27.3","4","110","27.5","4","107","26.8","4","100","25","4","109","27.3","2","10","5","0","0","0","24","591","24.6","27","21.9"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003610","연일초등학교","02","공립","N","","4","75","18.8","4","91","22.8","5","100","20","6","126","21","6","124","20.7","6","129","21.5","2","12","6","0","0","0","33","657","19.9","42","15.6"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003611","연일형산초등학교","02","공립","N","","1","26","26","2","39","19.5","2","49","24.5","3","51","17","2","46","23","2","47","23.5","2","10","5","0","0","0","14","268","19.1","17","15.8"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003612","오천초등학교","02","공립","N","","2","34","17","2","34","17","3","51","17","3","58","19.3","2","48","24","3","67","22.3","2","14","7","0","0","0","17","306","18","20","15.3"
