"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150006266","구미봉곡초등학교","02","공립","N","","3","60","20","3","77","25.7","3","83","27.7","4","98","24.5","3","78","26","4","105","26.3","1","8","8","0","0","0","21","509","24.2","32","15.9"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150006275","천생초등학교","02","공립","N","","3","55","18.3","2","47","23.5","3","67","22.3","3","65","21.7","3","61","20.3","4","87","21.8","2","10","5","0","0","0","20","392","19.6","25","15.7"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150006278","구미왕산초등학교","02","공립","N","","5","120","24","6","143","23.8","6","147","24.5","7","166","23.7","5","117","23.4","6","143","23.8","2","16","8","0","0","0","37","852","23","51","16.7"
"경상북도교육청","경상북도경주교육지원청","경상북도 경주시","S150006303","금장초등학교","02","공립","N","","2","41","20.5","4","83","20.8","4","83","20.8","5","99","19.8","5","106","21.2","5","109","21.8","1","7","7","0","0","0","26","528","20.3","31","17"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150006309","정수초등학교","02","공립","N","","3","73","24.3","4","96","24","4","91","22.8","4","110","27.5","4","88","22","4","109","27.3","2","7","3.5","0","0","0","25","574","23","31","18.5"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150006311","옥계동부초등학교","02","공립","N","","5","120","24","7","177","25.3","7","177","25.3","8","205","25.6","8","206","25.8","9","243","27","2","9","4.5","0","0","0","46","1137","24.7","58","19.6"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150006312","포항원동초등학교","02","공립","N","","5","119","23.8","7","172","24.6","8","188","23.5","8","183","22.9","9","218","24.2","10","243","24.3","2","13","6.5","0","0","0","49","1136","23.2","67","17"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150006318","포항양덕초등학교","02","공립","N","","5","112","22.4","5","138","27.6","7","179","25.6","7","193","27.6","6","160","26.7","9","228","25.3","0","0","0","0","0","0","39","1010","25.9","50","20.2"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150006322","학천초등학교","02","공립","N","","3","57","19","3","68","22.7","3","72","24","4","78","19.5","4","90","22.5","4","94","23.5","0","0","0","0","0","0","21","459","21.9","26","17.7"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150006367","평산초등학교","02","공립","N","","4","99","24.8","5","121","24.2","5","130","26","6","150","25","6","155","25.8","7","192","27.4","1","6","6","0","0","0","34","853","25.1","42","20.3"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150006393","포항송곡초등학교","02","공립","N","","6","156","26","7","172","24.6","8","212","26.5","8","216","27","7","189","27","8","202","25.3","1","6","6","0","0","0","45","1153","25.6","55","21"
"경상북도교육청","경상북도김천교육지원청","경상북도 김천시","S150006439","율곡초등학교","02","공립","N","","7","165","23.6","6","166","27.7","7","180","25.7","6","164","27.3","8","210","26.3","7","176","25.1","2","9","4.5","0","0","0","43","1070","24.9","56","19.1"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150006440","해마루초등학교","02","공립","N","","9","242","26.9","11","292","26.5","11","276","25.1","11","292","26.5","11","279","25.4","11","287","26.1","1","7","7","0","0","0","65","1675","25.8","78","21.5"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150006461","삼성현초등학교","02","공립","N","","5","127","25.4","6","143","23.8","6","173","28.8","6","170","28.3","7","192","27.4","7","179","25.6","1","7","7","0","0","0","38","991","26.1","47","21.1"
"경상북도교육청","경상북도안동교육지원청","경상북도 안동시","S150006481","풍천풍서초등학교","02","공립","N","","6","131","21.8","6","123","20.5","6","140","23.3","5","122","24.4","6","132","22","7","160","22.9","1","4","4","0","0","0","37","812","21.9","48","16.9"
"경상북도교육청","경상북도영주교육지원청","경상북도 영주시","S150006489","영주가흥초등학교","02","공립","N","","7","166","23.7","7","174","24.9","7","184","26.3","7","186","26.6","7","179","25.6","8","222","27.8","0","0","0","0","0","0","43","1111","25.8","51","21.8"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150006492","초곡초등학교","02","공립","N","","7","158","22.6","8","209","26.1","8","210","26.3","9","217","24.1","8","199","24.9","8","200","25","1","4","4","0","0","0","49","1197","24.4","63","19"
"경상북도교육청","경상북도예천교육지원청","경상북도 예천군","S150006493","호명초등학교","02","공립","N","","8","199","24.9","9","221","24.6","11","259","23.5","9","223","24.8","11","248","22.5","9","205","22.8","1","4","4","0","0","0","58","1359","23.4","73","18.6"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150006516","구미인덕초등학교","02","공립","N","","12","288","24","13","323","24.8","14","321","22.9","15","333","22.2","12","283","23.6","12","284","23.7","2","11","5.5","0","0","0","80","1843","23","98","18.8"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150006517","구미문성초등학교","02","공립","N","","10","235","23.5","10","260","26","10","267","26.7","9","247","27.4","8","214","26.8","8","184","23","2","9","4.5","0","0","0","57","1416","24.8","68","20.8"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150006519","양서초등학교","02","공립","N","","5","121","24.2","6","137","22.8","5","134","26.8","5","128","25.6","6","161","26.8","7","174","24.9","1","6","6","0","0","0","35","861","24.6","46","18.7"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150006525","구미원당초등학교","02","공립","N","","6","107","17.8","6","114","19","7","124","17.7","5","110","22","4","91","22.8","4","76","19","2","9","4.5","0","0","0","34","631","18.6","43","14.7"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150006526","구미신당초등학교","02","공립","N","","10","233","23.3","11","255","23.2","12","270","22.5","10","234","23.4","9","206","22.9","8","194","24.3","2","9","4.5","0","0","0","62","1401","22.6","78","18"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150006614","포항용산초등학교","02","공립","N","","2","41","20.5","2","33","16.5","1","24","24","1","21","21","1","18","18","1","4","4","0","0","0","0","0","0","8","141","17.6","10","14.1"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150006615","초서초등학교","02","공립","N","","3","64","21.3","2","14","7","2","17","8.5","1","9","9","1","6","6","1","3","3","0","0","0","0","0","0","10","113","11.3","15","7.5"
