설(상)치 장소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
경북 구미시 산동읍 신당리 1696 ,경북 구미시 산동읍 신당리 1696 ,128.4348462,36.159265,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1696,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경북 구미시 산동읍 신당리 1796,경북 구미시 산동읍 신당리 1796,128.429859,36.1577959,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1796,39460,4719025600,산동읍,4719025625,산동읍 신당리
경북 구미시 산동읍 신당리 1799,경북 구미시 산동읍 신당리 1799,128.4298305,36.1607071,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1799,39460,4719025600,산동읍,4719025625,산동읍 신당리
" 경북 구미시 산동읍 신당리 1799, (나대지) ","경북 구미시 산동읍 신당리 1799, (나대지) ",128.4298305,36.1607071,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1799,39460,4719025600,산동읍,4719025625,산동읍 신당리
경북 구미시 산동읍 신당리 1800(나대지) ,경북 구미시 산동읍 신당리 1800(나대지) ,128.4258775,36.1613972,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1800,39460,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 강동로 953-73, (신당리) ","경상북도 구미시 산동면 강동로 953-73, (신당리) ",128.4494083,36.1616537,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 강동로 953-73,경상북도 구미시 산동읍 신당리 435-1,39164,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 사거리 , 나대지  (신당리) ","경상북도 구미시 산동면 사거리 , 나대지  (신당리) ",128.4341478,36.1696683,법정동 좌표,47190,판별불가,,경상북도 구미시 산동읍,NULL,4719025600,산동읍,4719025600,산동읍
" 경상북도 구미시 산동면 신당1로 18, (신당리) ","경상북도 구미시 산동면 신당1로 18, (신당리) ",128.4331078,36.1543773,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로 18,경상북도 구미시 산동읍 신당리 1460,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당1로 24, (신당리) ","경상북도 구미시 산동면 신당1로 24, (신당리) ",128.4323521,36.1543801,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로 24,경상북도 구미시 산동읍 신당리 1458,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당1로 24, EPS실 3층  (신당리) ","경상북도 구미시 산동면 신당1로 24, EPS실 3층  (신당리) ",128.4323521,36.1543801,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로 24,경상북도 구미시 산동읍 신당리 1458,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당1로1길 17-14, 석세스I빌딩  (신당리) ","경상북도 구미시 산동면 신당1로1길 17-14, 석세스I빌딩  (신당리) ",128.4323484,36.155732,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로1길 17-14,경상북도 구미시 산동읍 신당리 1446,39464,4719025600,산동읍,4719025625,산동읍 신당리
